Generation,Best-Fitness,frequency0,amplitude0,phase_offset0,frequency1,amplitude1,phase_offset1,frequency2,amplitude2,phase_offset2,frequency3,amplitude3,phase_offset3,frequency4,amplitude4,phase_offset4,frequency5,amplitude5,phase_offset5,frequency6,amplitude6,phase_offset6,frequency7,amplitude7,phase_offset7,frequency8,amplitude8,phase_offset8,frequency9,amplitude9,phase_offset9
0,96.21264819170922,3.6220184922973213,-2.4537434918178502,-1.1141073520909826,-1.639478075813279,2.1396721783248918,1.3402955382461692,-2.6664051407867975,-0.004837094113838036,0.6666226256517598,0.5348521166408872,-0.26948377053115813,-2.28952323390491,2.139752148951356,-2.7326794381097184,-0.49949733141553954,0.509073762432513,2.1271558040440413,-0.39236845157964756,0.07885054092536019,1.059897617533946,0.8807388591284427,-0.010450901923561684,2.3282478719182413,-4.388612261629511,0.1720622997333261,3.2430822074934786,-1.1853475951104628,-0.9292648894679935,1.8900954820365934,1.5834546891416388
1,97.85827349307152,1.952366557754849,-1.530705505143274,-3.8796754432392446,0.06241210689696125,2.705365513948913,-2.220820890376149,0.7279931152947539,2.4831235003729573,1.0154771590099734,-1.0686562575111864,2.0016423000624095,-1.1562930288087483,0.7895942346441261,-0.907234423897141,0.22961151807408728,-1.1743735066078744,3.981934565138973,0.9653849266777311,-0.7994827607035706,1.790853533301506,4.725726711944831,-0.6634240272033061,-0.14608041148468365,0.9514147690974397,1.804311032199844,2.1435309425788174,0.32319830513742753,-1.2399172497289943,0.2619616565678954,-0.16101645892095284
2,95.65388930279231,0.3554345793914342,-0.3729020984622129,-1.9401430293694217,0.3598940541261395,2.2304434795895456,0.02834766505482489,-0.738186224277286,4.199888628367377,-0.8709175744017073,-1.7233309721248489,1.3507200741281704,0.2588747030177612,4.341480827631697,0.8420940944764824,-0.5269510743103607,-0.07833576445258483,-1.3233622923551618,0.5036676229479444,-1.530027939101311,0.7608301706533395,-0.6008772535949238,3.3692616126664543,0.43590601568804355,2.766822882801881,0.41019388646818083,2.410076540171738,1.8187514712346142,3.080082676053466,0.5275475132164691,-0.0036295198459980194
3,97.72426034290979,1.4380015002922817,0.5018447020924244,-0.25870766690566516,4.404495332767108,4.931633329816841,0.8549203769586479,0.40537703498077543,4.5259292773345035,-1.4599018116033733,-0.7729896718863026,2.290388207203614,3.555435351791676,0.8039244427654455,0.6478211666172095,-0.545180548049405,-2.4712392779536767,5.934675087294675,-3.5863573546634155,1.3356019645233457,3.532740556812537,4.203131390100221,2.5967335937407716,-0.6327490030087077,0.3027122285919153,-1.213324778471547,2.872373055668081,1.679250914388415,-2.7955760900351403,1.5797616175134608,4.042976944025565
4,98.70975744000533,1.3638095671194257,-1.3927049367020463,0.385120899970135,2.8826524731766443,4.403184375201389,-2.1207304693829894,-0.9608418172252494,5.789740040209486,-2.2188525156628733,-0.4676342615471355,0.5175063719554729,2.397294006033924,0.30564169622530146,-2.205613084394202,-1.7291305023085848,-0.849163455186122,3.1530190705662773,-0.03445862027667013,2.21401651488773,2.5218197104087765,2.8513381275762812,1.4893697817132932,3.539121861149259,2.7096182965869793,-2.2170216351359437,3.384350512338742,0.23286281019183497,0.861602614679915,-0.0674607623122524,1.473851439062441
5,98.45158132463823,0.8231917145756659,1.0533889512747927,0.3873825989261301,2.2816314086302807,4.044746860248595,-2.470093376483552,2.518212319259534,5.6534700368597735,-2.688146421920413,-1.9594207471074547,-0.7189028474299142,3.0500853375268964,0.7707195033533996,0.680893876231623,-3.3546565755854356,-1.0731106095263354,1.9600030945159357,1.1237519544091104,0.0936776017312777,0.03005296890328668,2.574661855705012,1.3076592212199178,0.1119177444317554,1.4209894693073921,-4.011243334230105,2.6667281082097527,0.25972615168609375,-4.526146339542756,2.898567270867584,2.1049840500811148
6,97.66343316602851,-0.3861702376342537,0.13944249866653868,0.8262787746873131,1.481137921307108,4.408867348292873,-0.2568251342983654,3.312880487234841,4.609432295626695,-3.5941807896681546,-1.6025416596755204,-3.2254946432742244,2.3808960400931465,1.8105272650623032,1.0950978307754813,-1.209601524080277,-2.2261038045429937,4.0869373236535695,0.7991195844855489,1.231550922396526,2.2833801397068165,2.019068017732831,3.4064585127698,0.9749078475445591,2.577947445528326,-1.8681223848381623,4.203549974707662,2.0315170629861834,-2.402592858307353,1.0664114753225227,0.32066946652901995
7,96.99185814402773,1.452174446303799,-2.908217765709102,-2.2768643946206266,-0.21157526218384914,3.402432666456605,-3.3726323729108643,-0.37233997346834324,3.8520374296241338,-2.435029198497942,1.2143866163913584,-1.2276875548457407,1.8905935764681319,3.1609192887829676,3.1720489782030197,-2.0396060429234137,-1.153976538786297,-0.01171972890989359,0.9956200833126585,4.013867420493709,1.1717147397131482,-1.200810606184526,5.614278916107729,0.7076886888772671,0.8856441737263574,-0.5407801878255907,1.3711580067719864,2.3271127093385164,-0.14038350922809117,-0.06332980019594314,0.17948716236545292
8,94.9355203276631,-2.3806972971349363,-1.3802135497544947,-1.777320366071687,4.199815719391211,3.178434323595902,0.13724537863363673,-1.1518304899258633,4.776022182756595,-4.58923552352338,0.24080310735480653,-1.9167830746239445,1.0624146802739918,2.455267069983306,1.5158970632615938,-0.9576880364209969,-1.651467597427086,1.9589860492070839,-0.5592121183925772,0.3661966751328283,0.7976256981148866,-2.384897563860207,6.776789545015341,0.8162233718797105,3.68683666148336,-3.6502509516093022,1.7382571146985502,0.583925967845569,0.3997630626897757,1.6564342210765082,2.3800830894391787
9,96.50015998717417,1.0970680070847911,-1.6527834539621673,0.4605774307880903,5.759705290482361,2.7260601295828053,-3.319001612150264,1.9435858722689,2.1839135588538174,-1.0030369278290199,2.151158717039998,-3.928937349255044,2.5050625944364397,0.23718156476170527,-0.16487491665092424,-3.9655950079503475,0.20564978908134957,-0.5524701868085513,0.9737192843313691,1.3955625511373286,0.6771868277258506,-1.936318607454108,4.839717803336938,1.5010579819666088,1.5446203757724604,-1.953784150817505,0.04948895360029848,2.6600120057430763,0.2898098814464229,1.1715753159188869,1.4522638894283562
